Area,BHK,Parking,Price
800,3,1,6500000
750,2,1,5000000
950,2,1,15500000
600,2,1,4200000
650,2,1,6200000
1300,4,1,15500000
1350,4,1,10000000
650,2,1,4000000
985,3,1,6800000
1300,4,1,15000000
1100,3,1,6200000
870,3,1,7700000
630,2,1,5500000
660,2,1,5000000
344.4448,2,1,3310000
660,2,1,4700000
550,2,1,4500000
1100,4,1,17000000
1150,3,1,25000000
650,2,1,6000000
850,2,1,11000000
900,3,5,4500000
430.556,1,2,5300000
900,2,1,10500000
914.9315,2,1,12000000
1100,3,1,7000000
800,3,1,7000000
500,1,1,3400000
28,2,1,5000000
2160,4,1,21000000
1500,1,,13500000
800,2,1,15000000
900,2,1,10500000
1080,3,1,22500000
750,2,1,13600000
1450,3,2,30000000
900,2,1,13500000
810,2,1,8910000
1350,3,1,25000000
1710,3,4,26000000
1650,3,1,30000000
1280,2,1,12500000
1260,3,1,21000000
1130,2,1,7800000
600,2,1,11500000
850,2,1,11500000
1500,3,2,26000000
900,2,2,13000000
1000,3,1,22000000
900,2,1,15800000
2925,4,2,57500000
900,2,2,10000000
1600,3,2,30000000
1143,3,2,22000000
1150,3,2,24000000
1500,3,1,31500000
850,2,1,14600000
8000,4,1,240000000
890,2,1,8300000
1100,3,1,22500000
750,1,2,4600000
850,2,2,1900000
1350,3,1,5130000
1387,4,1,5890000
1050,3,1,3700000
1500,3,1,17400000
1200,3,1,15500000
700,2,1,2400000
1700,3,1,17200000
1550,3,2,14200000
1400,3,1,13500000
1900,4,1,30000000
2160,4,1,21000000
1700,4,1,20500000
1850,3,1,24000000
1800,4,1,16500000
1620,3,1,14900000
1800,4,1,19200000
1540,3,1,14500000
1600,3,1,15600000
1400,3,1,11400000
2300,4,1,31500000
1560,3,2,15800000
1500,3,2,16000000
1540,3,1,14500000
1050,2,1,10500000
1800,3,1,14800000
400,1,1,1850000
1150,3,1,6800000
1525,3,1,14200000
900,1,,8900000
1450,3,2,37500000
1450,3,2,30000000
1260,3,2,21000000
2925,4,2,57500000
1710,3,1,30000000
1600,3,1,30000000
1500,3,1,31500000
2200,3,1,30000000
1350,3,1,41500000
1710,3,1,24800000
1350,3,2,35000000
1500,3,1,40000000
2880,4,1,46000000
2700,4,2,55000000
1400,3,1,24500000
1800,3,1,24500000
1400,3,1,32500000
1000,2,1,20000000
8000,4,1,240000000
1000,2,1,20000000
1700,3,2,19000000
1600,3,2,26000000
1350,3,1,21000000
1700,3,1,27500000
1400,3,2,32500000
1450,3,1,45000000
1350,3,1,21000000
1700,3,1,28000000
1600,3,2,29500000
1500,1,,13500000
800,2,1,14000000
1710,3,4,26000000
1350,2,4,12500000
1500,3,2,26000000
750,2,2,11500000
850,2,2,14600000
1575,3,1,25500000
1675,3,2,31000000
1350,3,2,22000000
900,2,2,13400000
1800,3,2,35000000
900,2,2,11000000
900,2,2,6300000
900,2,2,12500000
800,2,1,14500000
1100,2,1,22500000
810,2,1,15500000
1500,3,1,26000000
900,2,1,15800000
825,2,1,15000000
900,2,1,13000000
875,2,1,15000000
1350,3,1,25000000
750,2,1,16500000
900,2,1,10300000
1350,3,1,26000000
900,2,1,11000000
1800,3,1,28500000
900,2,1,11000000
900,2,1,11000000
810,3,1,4500000
450,2,1,3600000
100,3,1,4300000
900,3,1,4000000
500,2,1,1650000
450,1,1,2000000
75,2,1,3000000
270,2,1,1400000
500,2,1,2000000
444,2,1,2000000
400,1,1,2000000
729,3,1,2600000
4050,6,1,5100000
2400,6,1,6000000
450,2,1,4000000
405,2,1,6200000
666,1,1,3500000
1000,2,1,7600000
1360,4,1,13500000
1550,4,1,12500000
850,3,1,6500000
2170,4,2,22000000
720,3,1,6000000
850,3,1,7300000
950,3,1,7600000
2300,4,1,20000000
1300,4,1,15000000
1100,3,1,6200000
1030,3,1,6200000
350,1,1,2300000
750,2,1,5000000
720,2,1,4700000
800,2,1,5500000
350,1,1,2000000
980,3,1,7300000
1600,4,1,13000000
1450,3,1,11500000
445,2,1,2800000
380,1,1,2200000
680,2,1,4400000
1600,3,1,13500000
630,2,1,4100000
1500,3,1,12000000
550,2,1,3500000
2500,4,1,15000000
2800,5,1,17500000
300,1,1,1900000
800,3,1,5500000
1295,3,1,10000000
700,3,1,4700000
350,1,1,2400000
450,2,1,3800000
2200,4,1,23000000
2300,4,1,24500000
1150,3,1,10000000
800,3,1,5500000
850,3,1,7000000
720,3,1,6500000
4688,5,1,135000000
750,2,1,5000000
3901,4,1,93000000
950,3,1,4370000
1000,3,1,4620000
850,2,1,1900000
2400,4,1,70000000
1350,3,1,5130000
540,2,1,3000000
1387,4,1,5890000
540,2,1,3300000
976,2,1,24900000
1050,3,1,3700000
2700,4,1,60000000
1500,3,1,17400000
2900,5,1,51000000
5025,5,4,170000000
1000,3,1,5510000
1135,3,2,25000000
2306,3,1,57000000
850,2,1,2940000
1200,3,1,15500000
1700,3,1,17200000
1800,4,2,55000000
1100,2,1,15000000
22050,4,2,51000000
1550,4,1,13000000
1600,3,1,30000000
700,2,1,2400000
45,4,1,5500000
3510,4,2,45000000
4500,4,2,60000000
1800,4,2,65000000
6000,5,9,220000000
4300,4,2,60000000
1700,3,2,38500000
2500,3,2,50000000
4500,4,2,75000000
2450,4,2,70000000
10350,4,3,160000000
4800,3,1,85000000
1600,3,2,40000000
3500,4,2,90000000
2100,4,2,56000000
4200,5,2,135500000
1500,3,2,60000000
8150,4,4,170000000
2200,4,2,50000000
